               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,             0.02772,            0.022239,           0.0048693,             0.81161,             0.73452,             0.80457,             0.38109,            0.031707,            0.023264,            0.014858,           0.0073303,           0.0073303,           0.0073303
                 112,            0.028377,            0.022642,           0.0043218,             0.70269,              0.7527,              0.7748,             0.36177,            0.032467,            0.023317,            0.016417,           0.0072872,           0.0072872,           0.0072872
                 113,            0.028202,            0.022932,           0.0036914,             0.77624,             0.74763,             0.79563,             0.38064,            0.031147,            0.023028,            0.014935,           0.0072438,           0.0072438,           0.0072438
                 114,            0.027764,            0.022258,           0.0040899,             0.75163,             0.75288,             0.80366,             0.38793,            0.030981,            0.022902,              0.0157,           0.0072003,           0.0072003,           0.0072003
                 115,            0.027809,            0.022092,           0.0040519,             0.79043,             0.75131,             0.79013,             0.38597,            0.032023,            0.023312,            0.015305,           0.0071566,           0.0071566,           0.0071566
                 116,            0.027667,            0.022177,           0.0043053,             0.76607,             0.74036,             0.78045,             0.36771,            0.032132,            0.023576,            0.014822,           0.0071127,           0.0071127,           0.0071127
                 117,            0.027738,            0.022603,           0.0037398,             0.82313,             0.67916,             0.79136,             0.36279,            0.032027,            0.025309,            0.014503,           0.0070686,           0.0070686,           0.0070686
                 118,            0.027656,            0.022619,           0.0042113,             0.76623,             0.72163,             0.79376,             0.37606,            0.032105,            0.023707,            0.015171,           0.0070243,           0.0070243,           0.0070243
                 119,            0.027083,            0.022052,           0.0044425,             0.70908,              0.7876,             0.79427,              0.3743,            0.031668,            0.023803,             0.01416,           0.0069799,           0.0069799,           0.0069799
                 120,            0.027501,            0.022322,           0.0037527,             0.74142,             0.76863,             0.79806,             0.38956,            0.031569,            0.024171,            0.017323,           0.0069353,           0.0069353,           0.0069353
                 121,            0.026934,            0.022454,           0.0037601,             0.75645,             0.74001,             0.78179,             0.38678,             0.03235,            0.023589,             0.01519,           0.0068906,           0.0068906,           0.0068906
                 122,            0.028005,            0.021737,           0.0037959,             0.78656,             0.72109,             0.77636,             0.38982,            0.031173,            0.023961,            0.015554,           0.0068457,           0.0068457,           0.0068457
                 123,            0.027129,             0.02222,           0.0034725,             0.78169,             0.73199,             0.77613,             0.37329,            0.031369,            0.024068,            0.015709,           0.0068006,           0.0068006,           0.0068006
                 124,            0.027401,            0.020839,             0.00384,             0.81032,             0.73076,             0.78295,             0.37634,            0.031914,            0.024719,            0.014978,           0.0067555,           0.0067555,           0.0067555
                 125,             0.02686,            0.022421,           0.0038764,              0.8009,              0.6986,             0.77928,             0.37648,            0.032649,            0.024221,            0.015779,           0.0067101,           0.0067101,           0.0067101
                 126,            0.027199,            0.021767,           0.0037529,             0.78966,             0.71903,              0.7775,             0.37246,            0.032783,             0.02427,            0.017327,           0.0066647,           0.0066647,           0.0066647
